nfi_plot,loc_id,meas_num,species_num,genus,species,variety,species_strel
881761,0,0,1,ABIE,BAL,,0.588
881761,0,0,2,PICE,MAR,,0.412
881766,1,0,1,PICE,MAR,,0.818
881766,1,0,2,ABIE,BAL,,0.170
881766,1,0,3,PICE,GLA,,0.011
881786,0,0,1,ABIE,BAL,,1.000
881786,0,1,1,ABIE,BAL,,1.000
881936,0,0,1,ABIE,BAL,,0.750
881936,0,0,2,PICE,GLA,,0.250
881936,0,1,1,ABIE,BAL,,1.000
887701,0,0,1,PICE,MAR,,0.714
887701,0,0,2,ALNU,CRI,,0.095
887701,0,0,3,BETU,GLA,,0.095
887701,0,0,4,LARI,LAR,,0.095
887706,0,0,1,BETU,GLA,,0.600
887706,0,0,2,ALNU,CRI,,0.200
887706,0,0,3,SALI,SPP,,0.200
887711,0,0,1,PICE,MAR,,1.000
887751,0,0,1,PICE,MAR,,0.769
887751,0,0,2,LARI,LAR,,0.077
887751,0,0,3,PICE,GLA,,0.077
887751,0,0,4,SALI,SPP,,0.077
887761,0,0,1,SALI,SPP,,0.367
887761,0,0,2,BETU,GLA,,0.333
887761,0,0,3,PICE,GLA,,0.167
887761,0,0,4,PICE,MAR,,0.133
894591,0,0,1,POPU,TRE,,0.351
894591,0,0,2,PICE,MAR,,0.270
894591,0,0,3,SALI,SCO,,0.270
894591,0,0,4,BETU,PAP,,0.081
894591,0,0,5,BETU,PAP,NEO,0.027
895586,0,0,1,ABIE,BAL,,0.200
895586,0,0,2,ACER,SPI,,0.200
895586,0,0,3,ALNU,CRI,,0.200
895586,0,0,4,NEMO,MUC,,0.150
895586,0,0,5,PICE,GLA,,0.150
895586,0,0,6,ACER,RUB,,0.100
895611,0,0,1,ALNU,INC,RUG,0.520
895611,0,0,2,ACER,SPI,,0.160
895611,0,0,3,CORN,STO,,0.120
895611,0,0,4,ABIE,BAL,,0.080
895611,0,0,5,NEMO,MUC,,0.040
895611,0,0,6,PICE,GLA,,0.040
895611,0,0,7,SORB,AME,,0.040
901471,0,0,1,PICE,MAR,,0.941
901471,0,0,2,ALNU,CRI,,0.059
901506,0,0,1,LARI,LAR,,0.615
901506,0,0,2,PICE,MAR,,0.385
901546,0,0,1,PICE,MAR,,0.675
901546,0,0,2,PICE,GLA,,0.300
901546,0,0,3,LARI,LAR,,0.025
901566,0,0,1,PICE,MAR,,1.000
902356,0,0,1,PICE,MAR,,1.000
902356,0,1,1,PICE,MAR,,1.000
902421,1,0,1,PICE,MAR,,0.571
902421,1,0,2,AMEL,BAR,,0.190
902421,1,0,3,ILEX,MUC,,0.119
902421,1,0,4,ABIE,BAL,,0.071
902421,1,0,5,SORB,DEC,,0.048
908331,0,0,1,PICE,MAR,,1.000
908381,0,0,1,PICE,MAR,,1.000
909276,0,0,1,PICE,MAR,,0.625
909276,0,0,2,ABIE,BAL,,0.250
909276,0,0,3,AMEL,SPP,,0.083
909276,0,0,4,PICE,GLA,,0.042
909276,1,0,1,ABIE,BAL,,0.875
909276,1,0,2,BETU,PAP,,0.100
909276,1,0,3,PICE,MAR,,0.025
909336,0,0,1,BETU,PAP,,0.442
909336,0,0,2,ABIE,BAL,,0.211
909336,0,0,3,PRUN,PEN,,0.179
909336,0,0,4,SORB,AME,,0.116
909336,0,0,5,LARI,LAR,,0.021
909336,0,0,6,PICE,GLA,,0.021
909336,0,0,7,ACER,SPI,,0.011
909466,0,0,1,PRUN,PEN,,0.929
909466,0,0,2,ABIE,BAL,,0.071
909466,0,1,1,PRUN,PEN,,1.000
909476,0,0,1,ABIE,BAL,,1.000
909476,0,1,1,ABIE,BAL,,1.000
915246,0,0,1,PICE,SPP,,0.980
915246,0,0,2,PICE,GLA,,0.010
915246,0,0,3,PICE,MAR,,0.010
915266,0,0,1,PICE,MAR,,0.925
915266,0,0,2,ALNU,CRI,,0.038
915266,0,0,3,BETU,GLA,,0.019
915266,0,0,4,SALI,SPP,,0.019
915301,0,0,1,SALI,PLA,,0.600
915301,0,0,2,POPU,TRE,,0.400
916121,1,0,1,PICE,MAR,,1.000
916171,0,0,1,PICE,MAR,,1.000
916171,0,1,1,PICE,MAR,,1.000
916316,0,0,1,ACER,RUB,,0.553
916316,0,0,2,PICE,GLA,,0.298
916316,0,0,3,ACER,SAH,,0.106
916316,0,0,4,ABIE,BAL,,0.021
916316,0,0,5,PICE,RUB,,0.021
916316,0,1,1,ACER,RUB,,0.600
916316,0,1,2,PICE,GLA,,0.200
916316,0,1,3,SORB,AME,,0.120
916316,0,1,4,ABIE,BAL,,0.040
916316,0,1,5,PICE,MAR,,0.040
916351,0,0,1,ACER,RUB,,1.000
916351,0,1,1,ABIE,BAL,,0.522
916351,0,1,2,ACER,RUB,,0.478
922181,0,0,1,BETU,GLA,,0.500
922181,0,0,2,PICE,MAR,,0.233
922181,0,0,3,LARI,LAR,,0.200
922181,0,0,4,PICE,GLA,,0.067
923096,0,0,1,POPU,TRE,,0.600
923096,0,0,2,BETU,PAP,,0.200
923096,0,0,3,PRUN,PEN,,0.200
923201,0,0,1,ABIE,BAL,,1.000
923201,0,1,1,ABIE,BAL,,0.545
923201,0,1,2,ACER,RUB,,0.409
923201,0,1,3,BETU,ALL,,0.045
929016,0,0,1,PICE,MAR,,1.000
929016,0,1,1,PICE,MAR,,1.000
929021,0,0,1,PICE,MAR,,1.000
929021,0,1,1,PICE,MAR,,1.000
929061,0,0,1,PICE,MAR,,0.786
929061,0,0,2,LARI,LAR,,0.107
929061,0,0,3,SALI,SPP,,0.071
929061,0,0,4,SHEP,CAN,,0.036
929061,0,1,1,PICE,MAR,,0.921
929061,0,1,2,LARI,LAR,,0.079
929066,0,0,1,PICE,MAR,,0.889
929066,0,0,2,PICE,GLA,,0.111
929901,0,0,1,PICE,MAR,,0.913
929901,0,0,2,BETU,PAP,,0.043
929901,0,0,3,PINU,BAN,,0.043
929901,0,1,1,PICE,MAR,,0.962
929901,0,1,2,BETU,PAP,,0.038
929911,0,0,1,BETU,PAP,,1.000
929911,0,1,1,BETU,PAP,,0.778
929911,0,1,2,SORB,DEC,,0.222
930101,0,0,1,BETU,POP,,0.667
930101,0,0,2,ABIE,BAL,,0.222
930101,0,0,3,BETU,ALL,,0.056
930101,0,0,4,PICE,GLA,,0.056
930101,0,1,1,ABIE,BAL,,0.533
930101,0,1,2,BETU,POP,,0.200
930101,0,1,3,ACER,RUB,,0.167
930101,0,1,4,BETU,ALL,,0.033
930101,0,1,5,PICE,GLA,,0.033
930101,0,1,6,PINU,STR,,0.033
935891,0,0,1,PICE,MAR,,0.563
935891,0,0,2,BETU,NEO,,0.438
936756,0,0,1,PICE,MAR,,0.700
936756,0,0,2,AMEL,SPP,,0.300
936756,0,1,1,PICE,MAR,,0.714
936756,0,1,2,AMEL,BAR,,0.286
936761,0,0,1,ALNU,INC,RUG,0.626
936761,0,0,2,SALI,BEB,,0.273
936761,0,0,3,PICE,MAR,,0.081
936761,0,0,4,ABIE,BAL,,0.020
936761,0,1,1,ALNU,INC,RUG,0.565
936761,0,1,2,SALI,DIS,,0.287
936761,0,1,3,PICE,MAR,,0.122
936761,0,1,4,ABIE,BAL,,0.026
936786,1,0,1,ABIE,BAL,,0.514
936786,1,0,2,PICE,MAR,,0.486
936896,0,0,1,ABIE,BAL,,0.600
936896,0,0,2,ACER,RUB,,0.200
936896,0,0,3,PICE,MAR,,0.200
936896,0,1,1,ACER,RUB,,0.625
936896,0,1,2,ABIE,BAL,,0.250
936896,0,1,3,BETU,PAP,,0.125
942786,0,0,1,POPU,TRE,,1.000
942786,0,1,1,POPU,TRE,,1.000
943621,0,1,1,PICE,MAR,,1.000
943691,1,0,1,ABIE,BAL,,0.750
943691,1,0,2,ACER,SPI,,0.250
943746,0,0,1,SORB,AME,,0.615
943746,0,0,2,ABIE,BAL,,0.200
943746,0,0,3,BETU,PAP,,0.185
943766,0,0,1,ABIE,BAL,,0.625
943766,0,0,2,PICE,MAR,,0.208
943766,0,0,3,ACER,RUB,,0.167
943766,0,1,1,ABIE,BAL,,0.737
943766,0,1,2,ACER,RUB,,0.158
943766,0,1,3,PICE,MAR,,0.105
949656,0,0,1,PICE,MAR,,0.700
949656,0,0,2,BETU,NEO,,0.300
949656,0,1,1,PICE,MAR,,0.667
949656,0,1,2,BETU,PAP,,0.333
950551,1,0,1,ABIE,BAL,,0.565
950551,1,0,2,PICE,MAR,,0.217
950551,1,0,3,BETU,PAP,,0.174
950551,1,0,4,PRUN,PEN,,0.043
950576,1,0,1,ABIE,BAL,,0.439
950576,1,0,2,BETU,PAP,,0.159
950576,1,0,3,ALNU,VIR,CRI,0.121
950576,1,0,4,ACER,SPI,,0.112
950576,1,0,5,PICE,GLA,,0.103
950576,1,0,6,AMEL,BAR,,0.047
950576,1,0,7,SORB,AME,,0.019
950636,0,0,1,ABIE,BAL,,0.481
950636,0,0,2,CORY,COR,,0.296
950636,0,0,3,FAGU,GRA,,0.148
950636,0,0,4,ACER,PEN,,0.074
950636,0,1,1,ABIE,BAL,,1.000
950721,0,0,1,PRUN,PEN,,0.776
950721,0,0,2,ACER,RUB,,0.082
950721,0,0,3,ACER,PEN,,0.061
950721,0,0,4,BETU,ALL,,0.041
950721,0,0,5,FAGU,GRA,,0.020
950721,0,0,6,POPU,TRE,,0.020
950721,0,1,1,PRUN,PEN,,0.480
950721,0,1,2,ABIE,BAL,,0.220
950721,0,1,3,ACER,SPI,,0.180
950721,0,1,4,ACER,SAH,,0.080
950721,0,1,5,BETU,ALL,,0.040
956641,0,0,1,PICE,MAR,,0.955
956641,0,0,2,SALI,SCO,,0.045
957376,1,0,1,ABIE,BAL,,0.700
957376,1,0,2,PICE,MAR,,0.150
957376,1,0,3,SALI,HUM,,0.150
957406,1,0,1,PICE,MAR,,0.800
957406,1,0,2,ABIE,BAL,,0.100
957406,1,0,3,BETU,PAP,,0.100
957441,1,0,1,PICE,MAR,,0.750
957441,1,0,2,SORB,AME,,0.150
957441,1,0,3,BETU,PAP,,0.100
957571,0,0,1,ABIE,BAL,,0.381
957571,0,0,2,ACER,RUB,,0.286
957571,0,0,3,PICE,MAR,,0.143
957571,0,0,4,VIBU,SPP,,0.143
957571,0,0,5,ALNU,INC,RUG,0.048
957571,0,1,1,ABIE,BAL,,0.647
957571,0,1,2,ACER,RUB,,0.294
957571,0,1,3,PRUN,PEN,,0.059
957621,0,0,1,ABIE,BAL,,0.636
957621,0,0,2,PICE,RUB,,0.364
957621,0,1,1,ABIE,BAL,,0.533
957621,0,1,2,PICE,MAR,,0.400
957621,0,1,3,PICE,RUB,,0.067
963511,0,0,1,PICE,MAR,,0.667
963511,0,0,2,LARI,LAR,,0.200
963511,0,0,3,PICE,GLA,,0.133
963511,0,1,1,LARI,LAR,,0.533
963511,0,1,2,PICE,MAR,,0.267
