nfi_plot,loc_id,meas_num,species_num,genus,species,variety,percent
957571,0,1,2,ABIE,BAL,,32.9
957621,0,0,1,PICE,RUB,,56.6
957621,0,0,2,ACER,RUB,,13.8
957621,0,0,3,LARI,LAR,,6.8
957621,0,0,4,ABIE,BAL,,6.6
957621,0,0,5,PINU,STR,,6.5
957621,0,0,6,TSUG,CAN,,6.1
957621,0,0,7,POPU,GRA,,3.6
957621,0,1,1,PICE,RUB,,52.7
957621,0,1,2,ACER,RUB,,20.7
957621,0,1,3,PINU,STR,,10.1
957621,0,1,4,LARI,LAR,,9.8
957621,0,1,5,ABIE,BAL,,6.8
963446,0,0,1,POPU,BAL,,80.6
963446,0,0,2,PICE,GLA,,19.4
963446,0,1,1,POPU,BAL,,51.4
963446,0,1,2,PICE,GLA,,48.6
963511,0,0,1,PICE,MAR,,67.4
963511,0,0,2,PICE,GLA,,32.6
963511,0,1,1,PICE,MAR,,67.5
963511,0,1,2,PICE,GLA,,32.5
963521,0,0,1,PICE,GLA,,74.4
963521,0,0,2,PICE,MAR,,25.6
964391,0,0,1,BETU,PAP,,40.9
964391,0,0,2,ABIE,BAL,,21.1
964391,0,0,3,POPU,TRE,,19.0
964391,0,0,4,PICE,GLA,,8.6
964391,0,0,5,ACER,RUB,,6.3
964391,0,0,6,ACER,PEN,,3.2
964391,0,0,7,PICE,RUB,,0.8
964391,0,1,1,BETU,PAP,,38.9
964391,0,1,2,ABIE,BAL,,23.9
964391,0,1,3,POPU,TRE,,23.4
964391,0,1,4,PICE,GLA,,8.6
964391,0,1,5,ACER,RUB,,3.2
964391,0,1,6,PICE,RUB,,1.1
964391,0,1,7,ACER,PEN,,0.8
964406,0,0,1,ACER,RUB,,27.4
964406,0,0,2,BETU,PAP,,25.2
964406,0,0,3,ABIE,BAL,,21.7
964406,0,0,4,BETU,ALL,,9.2
964406,0,0,5,PICE,MAR,,7.9
964406,0,0,6,PICE,RUB,,7.8
964406,0,0,7,ACER,PEN,,0.9
964406,0,1,1,ACER,RUB,,32.6
964406,0,1,2,BETU,PAP,,24.4
964406,0,1,3,ABIE,BAL,,18.2
964406,0,1,4,PICE,MAR,,8.6
964406,0,1,5,PICE,RUB,,8.3
964406,0,1,6,BETU,ALL,,7.1
964406,0,1,7,ACER,PEN,,0.8
964446,0,0,1,BETU,PAP,,52.3
964446,0,0,2,ABIE,BAL,,47.7
964446,0,1,1,BETU,PAP,,50.5
964446,0,1,2,ABIE,BAL,,22.0
964446,0,1,3,PICE,MAR,,21.6
964446,0,1,4,ACER,RUB,,4.1
964446,0,1,5,PINU,STR,,1.8
964496,0,0,1,ABIE,BAL,,53.3
964496,0,0,2,ACER,RUB,,22.1
964496,0,0,3,PICE,GLA,,15.9
964496,0,0,4,PICE,RUB,,6.0
964496,0,0,5,BETU,PAP,,1.4
964496,0,0,6,POPU,TRE,,1.3
964496,0,1,1,ABIE,BAL,,53.7
964496,0,1,2,ACER,RUB,,22.5
964496,0,1,3,PICE,GLA,,13.7
964496,0,1,4,PICE,RUB,,5.8
964496,0,1,5,POPU,TRE,,2.5
